year,databank.value,country.name,series.name
1998,24.8974003,Canada,Individuals using the Internet (% of population)
1998,0.39,Canada,Pump price for diesel fuel (US$ per liter)
1998,75.88275617826282,Canada,Fossil fuel energy consumption (% of total)
1998,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
1999,36.18644004,Canada,Individuals using the Internet (% of population)
1999,NA,Canada,Pump price for diesel fuel (US$ per liter)
1999,75.63775472582364,Canada,Fossil fuel energy consumption (% of total)
1999,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2000,51.3,Canada,Individuals using the Internet (% of population)
2000,0.47,Canada,Pump price for diesel fuel (US$ per liter)
2000,76.10257181165409,Canada,Fossil fuel energy consumption (% of total)
2000,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2001,60.2,Canada,Individuals using the Internet (% of population)
2001,NA,Canada,Pump price for diesel fuel (US$ per liter)
2001,76.15495344009172,Canada,Fossil fuel energy consumption (% of total)
2001,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2002,61.59329927,Canada,Individuals using the Internet (% of population)
2002,0.43,Canada,Pump price for diesel fuel (US$ per liter)
2002,75.16336686415079,Canada,Fossil fuel energy consumption (% of total)
2002,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2003,64.2,Canada,Individuals using the Internet (% of population)
2003,NA,Canada,Pump price for diesel fuel (US$ per liter)
2003,76.54703876546589,Canada,Fossil fuel energy consumption (% of total)
2003,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2004,65.95596346,Canada,Individuals using the Internet (% of population)
2004,0.68,Canada,Pump price for diesel fuel (US$ per liter)
2004,75.19713564763006,Canada,Fossil fuel energy consumption (% of total)
2004,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2005,71.66,Canada,Individuals using the Internet (% of population)
2005,NA,Canada,Pump price for diesel fuel (US$ per liter)
2005,75.18780463520437,Canada,Fossil fuel energy consumption (% of total)
2005,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2006,72.4,Canada,Individuals using the Internet (% of population)
2006,0.78,Canada,Pump price for diesel fuel (US$ per liter)
2006,74.62917515421806,Canada,Fossil fuel energy consumption (% of total)
2006,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2007,73.2,Canada,Individuals using the Internet (% of population)
2007,NA,Canada,Pump price for diesel fuel (US$ per liter)
2007,75.033376291108965,Canada,Fossil fuel energy consumption (% of total)
2007,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2008,76.7,Canada,Individuals using the Internet (% of population)
2008,0.9,Canada,Pump price for diesel fuel (US$ per liter)
2008,75.00847732689245,Canada,Fossil fuel energy consumption (% of total)
2008,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2009,80.3,Canada,Individuals using the Internet (% of population)
2009,NA,Canada,Pump price for diesel fuel (US$ per liter)
2009,75.04116532149322,Canada,Fossil fuel energy consumption (% of total)
2009,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2010,80.3,Canada,Individuals using the Internet (% of population)
2010,1.08,Canada,Pump price for diesel fuel (US$ per liter)
2010,75.38574156997939,Canada,Fossil fuel energy consumption (% of total)
2010,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2011,83,Canada,Individuals using the Internet (% of population)
2011,NA,Canada,Pump price for diesel fuel (US$ per liter)
2011,74.67382462501455,Canada,Fossil fuel energy consumption (% of total)
2011,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2012,83,Canada,Individuals using the Internet (% of population)
2012,1.23,Canada,Pump price for diesel fuel (US$ per liter)
2012,74.4064369010716,Canada,Fossil fuel energy consumption (% of total)
2012,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2013,85.8,Canada,Individuals using the Internet (% of population)
2013,NA,Canada,Pump price for diesel fuel (US$ per liter)
2013,73.17075468151255,Canada,Fossil fuel energy consumption (% of total)
2013,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2014,87.12,Canada,Individuals using the Internet (% of population)
2014,1.16,Canada,Pump price for diesel fuel (US$ per liter)
2014,73.39591223366307,Canada,Fossil fuel energy consumption (% of total)
2014,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2015,88.47,Canada,Individuals using the Internet (% of population)
2015,NA,Canada,Pump price for diesel fuel (US$ per liter)
2015,73.5920794942438,Canada,Fossil fuel energy consumption (% of total)
2015,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2016,89.84,Canada,Individuals using the Internet (% of population)
2016,NA,Canada,Pump price for diesel fuel (US$ per liter)
2016,NA,Canada,Fossil fuel energy consumption (% of total)
2016,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2017,NA,Canada,Individuals using the Internet (% of population)
2017,NA,Canada,Pump price for diesel fuel (US$ per liter)
2017,NA,Canada,Fossil fuel energy consumption (% of total)
2017,7.37,Canada,Diabetes prevalence (% of population ages 20 to 79)
1998,10.79603483,Estonia,Individuals using the Internet (% of population)
1998,0.36,Estonia,Pump price for diesel fuel (US$ per liter)
1998,31.24086431242915,Estonia,Fossil fuel energy consumption (% of total)
1998,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
1999,14.50089724,Estonia,Individuals using the Internet (% of population)
1999,NA,Estonia,Pump price for diesel fuel (US$ per liter)
1999,32.207305595178816,Estonia,Fossil fuel energy consumption (% of total)
1999,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2000,28.57695381,Estonia,Individuals using the Internet (% of population)
2000,0.55,Estonia,Pump price for diesel fuel (US$ per liter)
2000,28.65162330782363,Estonia,Fossil fuel energy consumption (% of total)
2000,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2001,31.52748977,Estonia,Individuals using the Internet (% of population)
2001,NA,Estonia,Pump price for diesel fuel (US$ per liter)
2001,31.874953468512985,Estonia,Fossil fuel energy consumption (% of total)
2001,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2002,41.52,Estonia,Individuals using the Internet (% of population)
2002,0.56,Estonia,Pump price for diesel fuel (US$ per liter)
2002,29.587055828890534,Estonia,Fossil fuel energy consumption (% of total)
2002,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2003,45.32,Estonia,Individuals using the Internet (% of population)
2003,NA,Estonia,Pump price for diesel fuel (US$ per liter)
2003,28.306890045364558,Estonia,Fossil fuel energy consumption (% of total)
2003,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2004,53.2,Estonia,Individuals using the Internet (% of population)
2004,0.94,Estonia,Pump price for diesel fuel (US$ per liter)
2004,29.245858487532207,Estonia,Fossil fuel energy consumption (% of total)
2004,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2005,61.45,Estonia,Individuals using the Internet (% of population)
2005,NA,Estonia,Pump price for diesel fuel (US$ per liter)
2005,30.284703675707352,Estonia,Fossil fuel energy consumption (% of total)
2005,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2006,63.51,Estonia,Individuals using the Internet (% of population)
2006,1.22,Estonia,Pump price for diesel fuel (US$ per liter)
2006,31.411386722341817,Estonia,Fossil fuel energy consumption (% of total)
2006,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2007,66.19,Estonia,Individuals using the Internet (% of population)
2007,NA,Estonia,Pump price for diesel fuel (US$ per liter)
2007,28.59866480916881,Estonia,Fossil fuel energy consumption (% of total)
2007,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2008,70.58,Estonia,Individuals using the Internet (% of population)
2008,1.3,Estonia,Pump price for diesel fuel (US$ per liter)
2008,28.07201921260456,Estonia,Fossil fuel energy consumption (% of total)
2008,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2009,72.5,Estonia,Individuals using the Internet (% of population)
2009,NA,Estonia,Pump price for diesel fuel (US$ per liter)
2009,23.28809432035415,Estonia,Fossil fuel energy consumption (% of total)
2009,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2010,74.1,Estonia,Individuals using the Internet (% of population)
2010,1.57,Estonia,Pump price for diesel fuel (US$ per liter)
2010,20.57485777155908,Estonia,Fossil fuel energy consumption (% of total)
2010,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2011,76.5,Estonia,Individuals using the Internet (% of population)
2011,NA,Estonia,Pump price for diesel fuel (US$ per liter)
2011,18.877978115761092,Estonia,Fossil fuel energy consumption (% of total)
2011,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2012,78.38992593,Estonia,Individuals using the Internet (% of population)
2012,1.76,Estonia,Pump price for diesel fuel (US$ per liter)
2012,19.559749384490946,Estonia,Fossil fuel energy consumption (% of total)
2012,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2013,80.0043,Estonia,Individuals using the Internet (% of population)
2013,NA,Estonia,Pump price for diesel fuel (US$ per liter)
2013,17.198629745819623,Estonia,Fossil fuel energy consumption (% of total)
2013,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2014,84.24152803,Estonia,Individuals using the Internet (% of population)
2014,1.51,Estonia,Pump price for diesel fuel (US$ per liter)
2014,14.490291113381845,Estonia,Fossil fuel energy consumption (% of total)
2014,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2015,88.4118116,Estonia,Individuals using the Internet (% of population)
2015,NA,Estonia,Pump price for diesel fuel (US$ per liter)
2015,12.293886119320034,Estonia,Fossil fuel energy consumption (% of total)
2015,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2016,87.23733209,Estonia,Individuals using the Internet (% of population)
2016,NA,Estonia,Pump price for diesel fuel (US$ per liter)
2016,NA,Estonia,Fossil fuel energy consumption (% of total)
2016,NA,Estonia,Diabetes prevalence (% of population ages 20 to 79)
2017,NA,Estonia,Individuals using the Internet (% of population)
2017,NA,Estonia,Pump price for diesel fuel (US$ per liter)
2017,NA,Estonia,Fossil fuel energy consumption (% of total)
2017,4.02,Estonia,Diabetes prevalence (% of population ages 20 to 79)
1998,0.139027329,India,Individuals using the Internet (% of population)
1998,0.21,India,Pump price for diesel fuel (US$ per liter)
1998,62.01581767450312,India,Fossil fuel energy consumption (% of total)
1998,NA,India,Diabetes prevalence (% of population ages 20 to 79)
1999,0.273224277,India,Individuals using the Internet (% of population)
1999,NA,India,Pump price for diesel fuel (US$ per liter)
1999,63.460400161066886,India,Fossil fuel energy consumption (% of total)
1999,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2000,0.52753245,India,Individuals using the Internet (% of population)
2000,0.39,India,Pump price for diesel fuel (US$ per liter)
2000,63.72739451175118,India,Fossil fuel energy consumption (% of total)
2000,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2001,0.660146377,India,Individuals using the Internet (% of population)
2001,NA,India,Pump price for diesel fuel (US$ per liter)
2001,63.647966338774296,India,Fossil fuel energy consumption (% of total)
2001,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2002,1.537875582,India,Individuals using the Internet (% of population)
2002,0.41,India,Pump price for diesel fuel (US$ per liter)
2002,64.32920578696702,India,Fossil fuel energy consumption (% of total)
2002,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2003,1.686489971,India,Individuals using the Internet (% of population)
2003,NA,India,Pump price for diesel fuel (US$ per liter)
2003,64.51923943527551,India,Fossil fuel energy consumption (% of total)
2003,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2004,1.976136492,India,Individuals using the Internet (% of population)
2004,0.62,India,Pump price for diesel fuel (US$ per liter)
2004,65.58374371212534,India,Fossil fuel energy consumption (% of total)
2004,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2005,2.388075,India,Individuals using the Internet (% of population)
2005,NA,India,Pump price for diesel fuel (US$ per liter)
2005,65.98980360891487,India,Fossil fuel energy consumption (% of total)
2005,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2006,2.805499865,India,Individuals using the Internet (% of population)
2006,0.75,India,Pump price for diesel fuel (US$ per liter)
2006,66.80589127675913,India,Fossil fuel energy consumption (% of total)
2006,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2007,3.95,India,Individuals using the Internet (% of population)
2007,NA,India,Pump price for diesel fuel (US$ per liter)
2007,67.88323069592947,India,Fossil fuel energy consumption (% of total)
2007,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2008,4.38,India,Individuals using the Internet (% of population)
2008,0.7,India,Pump price for diesel fuel (US$ per liter)
2008,69.00512158858257,India,Fossil fuel energy consumption (% of total)
2008,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2009,5.12,India,Individuals using the Internet (% of population)
2009,NA,India,Pump price for diesel fuel (US$ per liter)
2009,71.14349792019247,India,Fossil fuel energy consumption (% of total)
2009,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2010,7.5,India,Individuals using the Internet (% of population)
2010,0.82,India,Pump price for diesel fuel (US$ per liter)
2010,71.4046951586205,India,Fossil fuel energy consumption (% of total)
2010,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2011,10.07,India,Individuals using the Internet (% of population)
2011,NA,India,Pump price for diesel fuel (US$ per liter)
2011,71.47171850486812,India,Fossil fuel energy consumption (% of total)
2011,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2012,12.58006091,India,Individuals using the Internet (% of population)
2012,0.86,India,Pump price for diesel fuel (US$ per liter)
2012,72.41907945949099,India,Fossil fuel energy consumption (% of total)
2012,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2013,15.1,India,Individuals using the Internet (% of population)
2013,NA,India,Pump price for diesel fuel (US$ per liter)
2013,72.2801372638741,India,Fossil fuel energy consumption (% of total)
2013,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2014,21,India,Individuals using the Internet (% of population)
2014,0.91,India,Pump price for diesel fuel (US$ per liter)
2014,73.46341619016698,India,Fossil fuel energy consumption (% of total)
2014,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2015,26,India,Individuals using the Internet (% of population)
2015,NA,India,Pump price for diesel fuel (US$ per liter)
2015,NA,India,Fossil fuel energy consumption (% of total)
2015,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2016,29.54716289,India,Individuals using the Internet (% of population)
2016,NA,India,Pump price for diesel fuel (US$ per liter)
2016,NA,India,Fossil fuel energy consumption (% of total)
2016,NA,India,Diabetes prevalence (% of population ages 20 to 79)
2017,NA,India,Individuals using the Internet (% of population)
2017,NA,India,Pump price for diesel fuel (US$ per liter)
2017,NA,India,Fossil fuel energy consumption (% of total)
2017,10.39,India,Diabetes prevalence (% of population ages 20 to 79)
1998,0.101429893,Saudi Arabia,Individuals using the Internet (% of population)
1998,0.1,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
1998,99.99512132030887,Saudi Arabia,Fossil fuel energy consumption (% of total)
1998,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
1999,0.49358534,Saudi Arabia,Individuals using the Internet (% of population)
1999,NA,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
1999,99.99520675716029,Saudi Arabia,Fossil fuel energy consumption (% of total)
1999,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2000,2.210691809,Saudi Arabia,Individuals using the Internet (% of population)
2000,0.1,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2000,99.99541575410946,Saudi Arabia,Fossil fuel energy consumption (% of total)
2000,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2001,4.681053166,Saudi Arabia,Individuals using the Internet (% of population)
2001,NA,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2001,99.99480235044066,Saudi Arabia,Fossil fuel energy consumption (% of total)
2001,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2002,6.38470502,Saudi Arabia,Individuals using the Internet (% of population)
2002,0.1,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2002,99.99530971186898,Saudi Arabia,Fossil fuel energy consumption (% of total)
2002,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2003,8.001582891,Saudi Arabia,Individuals using the Internet (% of population)
2003,NA,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2003,99.99536304728167,Saudi Arabia,Fossil fuel energy consumption (% of total)
2003,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2004,10.234533,Saudi Arabia,Individuals using the Internet (% of population)
2004,0.1,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2004,99.9956219627523,Saudi Arabia,Fossil fuel energy consumption (% of total)
2004,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2005,12.70503599,Saudi Arabia,Individuals using the Internet (% of population)
2005,NA,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2005,99.99571843134846,Saudi Arabia,Fossil fuel energy consumption (% of total)
2005,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2006,19.45955435,Saudi Arabia,Individuals using the Internet (% of population)
2006,0.07,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2006,99.99559705800704,Saudi Arabia,Fossil fuel energy consumption (% of total)
2006,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2007,30,Saudi Arabia,Individuals using the Internet (% of population)
2007,NA,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2007,99.9957383515465,Saudi Arabia,Fossil fuel energy consumption (% of total)
2007,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2008,36,Saudi Arabia,Individuals using the Internet (% of population)
2008,0.09,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2008,99.99617989451653,Saudi Arabia,Fossil fuel energy consumption (% of total)
2008,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2009,38,Saudi Arabia,Individuals using the Internet (% of population)
2009,NA,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2009,99.99641029183374,Saudi Arabia,Fossil fuel energy consumption (% of total)
2009,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2010,41,Saudi Arabia,Individuals using the Internet (% of population)
2010,0.067,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2010,99.99677609064287,Saudi Arabia,Fossil fuel energy consumption (% of total)
2010,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2011,47.5,Saudi Arabia,Individuals using the Internet (% of population)
2011,NA,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2011,99.99622955861885,Saudi Arabia,Fossil fuel energy consumption (% of total)
2011,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2012,54,Saudi Arabia,Individuals using the Internet (% of population)
2012,0.067,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2012,99.99660591856528,Saudi Arabia,Fossil fuel energy consumption (% of total)
2012,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2013,60.5,Saudi Arabia,Individuals using the Internet (% of population)
2013,NA,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2013,99.9964606313191,Saudi Arabia,Fossil fuel energy consumption (% of total)
2013,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2014,64.71365737,Saudi Arabia,Individuals using the Internet (% of population)
2014,0.07,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2014,99.99680242010008,Saudi Arabia,Fossil fuel energy consumption (% of total)
2014,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2015,69.6162358,Saudi Arabia,Individuals using the Internet (% of population)
2015,NA,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2015,NA,Saudi Arabia,Fossil fuel energy consumption (% of total)
2015,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2016,73.75090368,Saudi Arabia,Individuals using the Internet (% of population)
2016,NA,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2016,NA,Saudi Arabia,Fossil fuel energy consumption (% of total)
2016,NA,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
2017,NA,Saudi Arabia,Individuals using the Internet (% of population)
2017,NA,Saudi Arabia,Pump price for diesel fuel (US$ per liter)
2017,NA,Saudi Arabia,Fossil fuel energy consumption (% of total)
2017,17.72,Saudi Arabia,Diabetes prevalence (% of population ages 20 to 79)
1998,13.6699831,United Kingdom,Individuals using the Internet (% of population)
1998,1.11,United Kingdom,Pump price for diesel fuel (US$ per liter)
1998,86.77063541035423,United Kingdom,Fossil fuel energy consumption (% of total)
1998,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
1999,21.29363827,United Kingdom,Individuals using the Internet (% of population)
1999,NA,United Kingdom,Pump price for diesel fuel (US$ per liter)
1999,87.2351552257112,United Kingdom,Fossil fuel energy consumption (% of total)
1999,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2000,26.82175435,United Kingdom,Individuals using the Internet (% of population)
2000,1.22,United Kingdom,Pump price for diesel fuel (US$ per liter)
2000,88.41036373309602,United Kingdom,Fossil fuel energy consumption (% of total)
2000,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2001,33.48109487,United Kingdom,Individuals using the Internet (% of population)
2001,NA,United Kingdom,Pump price for diesel fuel (US$ per liter)
2001,87.82897536435264,United Kingdom,Fossil fuel energy consumption (% of total)
2001,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2002,56.48,United Kingdom,Individuals using the Internet (% of population)
2002,1.2,United Kingdom,Pump price for diesel fuel (US$ per liter)
2002,87.72360486102396,United Kingdom,Fossil fuel energy consumption (% of total)
2002,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2003,64.82,United Kingdom,Individuals using the Internet (% of population)
2003,NA,United Kingdom,Pump price for diesel fuel (US$ per liter)
2003,87.97895438541387,United Kingdom,Fossil fuel energy consumption (% of total)
2003,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2004,65.61,United Kingdom,Individuals using the Internet (% of population)
2004,1.6,United Kingdom,Pump price for diesel fuel (US$ per liter)
2004,88.55911388057011,United Kingdom,Fossil fuel energy consumption (% of total)
2004,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2005,70,United Kingdom,Individuals using the Internet (% of population)
2005,NA,United Kingdom,Pump price for diesel fuel (US$ per liter)
2005,88.07697504287512,United Kingdom,Fossil fuel energy consumption (% of total)
2005,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2006,68.82,United Kingdom,Individuals using the Internet (% of population)
2006,1.73,United Kingdom,Pump price for diesel fuel (US$ per liter)
2006,88.5501810016596,United Kingdom,Fossil fuel energy consumption (% of total)
2006,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2007,75.09,United Kingdom,Individuals using the Internet (% of population)
2007,NA,United Kingdom,Pump price for diesel fuel (US$ per liter)
2007,89.5756170976758,United Kingdom,Fossil fuel energy consumption (% of total)
2007,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2008,78.39,United Kingdom,Individuals using the Internet (% of population)
2008,1.65,United Kingdom,Pump price for diesel fuel (US$ per liter)
2008,90.11480572099337,United Kingdom,Fossil fuel energy consumption (% of total)
2008,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2009,83.56,United Kingdom,Individuals using the Internet (% of population)
2009,NA,United Kingdom,Pump price for diesel fuel (US$ per liter)
2009,87.31153903598178,United Kingdom,Fossil fuel energy consumption (% of total)
2009,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2010,85,United Kingdom,Individuals using the Internet (% of population)
2010,1.98,United Kingdom,Pump price for diesel fuel (US$ per liter)
2010,88.08325358363706,United Kingdom,Fossil fuel energy consumption (% of total)
2010,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2011,85.37999855,United Kingdom,Individuals using the Internet (% of population)
2011,NA,United Kingdom,Pump price for diesel fuel (US$ per liter)
2011,85.49604157364874,United Kingdom,Fossil fuel energy consumption (% of total)
2011,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2012,87.47999842,United Kingdom,Individuals using the Internet (% of population)
2012,2.27,United Kingdom,Pump price for diesel fuel (US$ per liter)
2012,85.07279657289601,United Kingdom,Fossil fuel energy consumption (% of total)
2012,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2013,89.8441,United Kingdom,Individuals using the Internet (% of population)
2013,NA,United Kingdom,Pump price for diesel fuel (US$ per liter)
2013,83.89491624199678,United Kingdom,Fossil fuel energy consumption (% of total)
2013,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2014,91.61,United Kingdom,Individuals using the Internet (% of population)
2014,1.99,United Kingdom,Pump price for diesel fuel (US$ per liter)
2014,82.63407462881423,United Kingdom,Fossil fuel energy consumption (% of total)
2014,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2015,92.0003,United Kingdom,Individuals using the Internet (% of population)
2015,NA,United Kingdom,Pump price for diesel fuel (US$ per liter)
2015,80.71195872798799,United Kingdom,Fossil fuel energy consumption (% of total)
2015,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2016,94.77580063,United Kingdom,Individuals using the Internet (% of population)
2016,NA,United Kingdom,Pump price for diesel fuel (US$ per liter)
2016,NA,United Kingdom,Fossil fuel energy consumption (% of total)
2016,NA,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
2017,NA,United Kingdom,Individuals using the Internet (% of population)
2017,NA,United Kingdom,Pump price for diesel fuel (US$ per liter)
2017,NA,United Kingdom,Fossil fuel energy consumption (% of total)
2017,4.28,United Kingdom,Diabetes prevalence (% of population ages 20 to 79)
